pais,país Code,tiempo,tiempo Code,esperanza,pib_pc
Argentina,ARG,1960,YR1960,65.055,5642.765138
Argentina,ARG,1961,YR1961,65.176,5853.171906
Argentina,ARG,1962,YR1962,65.269,5711.179338
Argentina,ARG,1963,YR1963,65.348,5323.494309
Argentina,ARG,1964,YR1964,65.426,5772.649967
Argentina,ARG,1965,YR1965,65.518,6286.229347
Argentina,ARG,1966,YR1966,65.64,6151.926026
Argentina,ARG,1967,YR1967,65.796,6255.184022
Argentina,ARG,1968,YR1968,65.989,6460.787452
Argentina,ARG,1969,YR1969,66.219,6980.899178
Argentina,ARG,1970,YR1970,66.483,7084.181478
Argentina,ARG,1971,YR1971,66.774,7368.07758
Argentina,ARG,1972,YR1972,67.078,7368.50577
Argentina,ARG,1973,YR1973,67.383,7453.753557
Argentina,ARG,1974,YR1974,67.686,7740.855928
Argentina,ARG,1975,YR1975,67.985,7617.943151
Argentina,ARG,1976,YR1976,68.283,7350.828567
Argentina,ARG,1977,YR1977,68.585,7743.582315
Argentina,ARG,1978,YR1978,68.891,7285.439556
Argentina,ARG,1979,YR1979,69.197,7910.366622
Argentina,ARG,1980,YR1980,69.496,7908.022618
Argentina,ARG,1981,YR1981,69.777,7380.674984
Argentina,ARG,1982,YR1982,70.033,7210.347021
Argentina,ARG,1983,YR1983,70.262,7403.72721
Argentina,ARG,1984,YR1984,70.466,7399.889119
Argentina,ARG,1985,YR1985,70.65,6904.645044
Argentina,ARG,1986,YR1986,70.825,7214.270703
Argentina,ARG,1987,YR1987,71.001,7294.064256
Argentina,ARG,1988,YR1988,71.186,7104.181201
Argentina,ARG,1989,YR1989,71.384,6497.425545
Argentina,ARG,1990,YR1990,71.594,6245.708577
Argentina,ARG,1991,YR1991,71.813,6721.278239
Argentina,ARG,1992,YR1992,72.032,7157.328311
Argentina,ARG,1993,YR1993,72.246,7644.235692
Argentina,ARG,1994,YR1994,72.453,7988.644614
Argentina,ARG,1995,YR1995,72.651,7666.530004
Argentina,ARG,1996,YR1996,72.843,7994.243371
Argentina,ARG,1997,YR1997,73.029,8543.028534
Argentina,ARG,1998,YR1998,73.213,8772.06321
Argentina,ARG,1999,YR1999,73.396,8381.253998
Argentina,ARG,2000,YR2000,73.576,8224.112827
Argentina,ARG,2001,YR2001,73.755,7776.137872
Argentina,ARG,2002,YR2002,73.932,6854.294081
Argentina,ARG,2003,YR2003,74.107,7380.467087
Argentina,ARG,2004,YR2004,74.28,7962.412309
Argentina,ARG,2005,YR2005,74.451,8577.864994
Argentina,ARG,2006,YR2006,74.62,9174.502458
Argentina,ARG,2007,YR2007,74.787,9901.511881
Argentina,ARG,2008,YR2008,74.952,10201.47594
Argentina,ARG,2009,YR2009,75.116,9502.243585
Argentina,ARG,2010,YR2010,75.278,10385.96443
Argentina,ARG,2011,YR2011,75.439,10883.31536
Argentina,ARG,2012,YR2012,75.598,10649.83729
Argentina,ARG,2013,YR2013,75.756,10784.6307
Argentina,ARG,2014,YR2014,75.913,10398.69401
Argentina,ARG,2015,YR2015,76.068,10568.15781
Argentina,ARG,2016,YR2016,76.221,10239.48135
Argentina,ARG,2017,YR2017,76.372,10419.45541
Argentina,ARG,2018,YR2018,76.52,10049.55524
Chile,CHL,1960,YR1960,57.219,3611.917912
Chile,CHL,1961,YR1961,57.616,3723.173274
Chile,CHL,1962,YR1962,58.031,3794.010773
Chile,CHL,1963,YR1963,58.467,3935.050723
Chile,CHL,1964,YR1964,58.927,3957.236913
Chile,CHL,1965,YR1965,59.415,3920.290297
Chile,CHL,1966,YR1966,59.931,4283.017607
Chile,CHL,1967,YR1967,60.474,4361.996817
Chile,CHL,1968,YR1968,61.044,4443.876782
Chile,CHL,1969,YR1969,61.637,4543.792454
Chile,CHL,1970,YR1970,62.254,4552.255588
Chile,CHL,1971,YR1971,62.895,4901.245955
Chile,CHL,1972,YR1972,63.555,4773.977473
Chile,CHL,1973,YR1973,64.231,4462.266867
Chile,CHL,1974,YR1974,64.917,4497.172566
Chile,CHL,1975,YR1975,65.609,3856.035839
Chile,CHL,1976,YR1976,66.307,3942.566617
Chile,CHL,1977,YR1977,67.005,4288.219062
Chile,CHL,1978,YR1978,67.698,4549.162156
Chile,CHL,1979,YR1979,68.378,4859.505993
Chile,CHL,1980,YR1980,69.033,5172.035749
Chile,CHL,1981,YR1981,69.655,5432.150496
Chile,CHL,1982,YR1982,70.239,4767.199469
Chile,CHL,1983,YR1983,70.782,4465.629293
Chile,CHL,1984,YR1984,71.282,4583.38407
Chile,CHL,1985,YR1985,71.737,4697.516658
Chile,CHL,1986,YR1986,72.148,4875.127073
Chile,CHL,1987,YR1987,72.524,5109.170624
Chile,CHL,1988,YR1988,72.872,5397.026413
Chile,CHL,1989,YR1989,73.198,5836.713989
Chile,CHL,1990,YR1990,73.509,5933.207064
Chile,CHL,1991,YR1991,73.808,6291.684907
Chile,CHL,1992,YR1992,74.1,6879.779489
Chile,CHL,1993,YR1993,74.386,7214.692918
Chile,CHL,1994,YR1994,74.671,7459.177306
Chile,CHL,1995,YR1995,74.957,8004.315446
Chile,CHL,1996,YR1996,75.244,8427.821896
Chile,CHL,1997,YR1997,75.53,8932.072289
Chile,CHL,1998,YR1998,75.813,9199.197679
Chile,CHL,1999,YR1999,76.092,9049.471579
Chile,CHL,2000,YR2000,76.366,9419.98295
Chile,CHL,2001,YR2001,76.634,9622.153629
Chile,CHL,2002,YR2002,76.894,9814.656135
Chile,CHL,2003,YR2003,77.146,10109.66805
Chile,CHL,2004,YR2004,77.391,10726.64485
Chile,CHL,2005,YR2005,77.63,11225.07995
